No,Sha,Valid,Message,Issue-url,Tag,Category
92,1ffc4df6b6f2391c1082f3b8439cb06a1e9887ff,False, cephadm_adopt modify placement policy rgw adoption playbook use order determine much rgw instance set recreate close http show_bug.cgi 1943170 signed guillaume abrioux gabrioux redhat.com, , ,None
93,ee44d860723fb4e27cd0c186e518edd42aa8fd50,False, cephadm_adopt fix typo play nothing else stopping removing rgw daemon signed guillaume abrioux gabrioux redhat.com, , ,None
94,36b4227dcd79c2525102f8c3102771cfab7fe693,False, docker2podman add documentation header add small documentation header playbook order explain goal playbook signed guillaume abrioux gabrioux redhat.com, , ,None
95,70f19be367390aeca43340711d380ce4825e02b5,False, docker2podman skip role import handler running docker podman playbook need call ceph config ceph rgw role ceph handler even side effect coming baremetal cluster previously migrated using switch container playbook indeed might complain missing .target systemd unit since removed migration close http show_bug.cgi 1944999 signed guillaume abrioux gabrioux redhat.com, , ,None
96,2c74c2732113ca2ef3e98361c64e1748790828b0,False, support iscsigws migration add iscsigws migration container close http show_bug.cgi number signed guillaume abrioux gabrioux redhat.com, , ,None
97,d0442d81b9e8087ae8ec086798c68382680a7d73,False, common selinux task related refactor move task ceph nfs role ceph common since needed ceph rgwloadbalancer role avoids duplicated task signed guillaume abrioux gabrioux redhat.com, , ,None
98,6bbb90198b600b460a34faf322a9e36646b3689e,False, rgw loadbalancers add rgw_ports http_port_t type add rgw port http_port_t selinux type allows haproxy connect port order avoid avc close http show_bug.cgi 1923890 signed guillaume abrioux gabrioux redhat.com, , ,None
99,9e7f22a071c0f7aecd98baeb73a1f90e290ef039,False, rgw loadbalancer update haproxy.cfg.j2 haproxy get avc configured connect port 8081 commit add snippet regarding haproxy selinux environment close http show_bug.cgi 1923890 signed kaleb keithley kkeithle redhat.com, , ,None
100,a0e1a450d3cbdcd52a39bd11fd9b8287daabae1f,False, container registry use password stdin pas password variable via stdin registry login authentication allows remove no_log statement see task output without displaying password value signed dimitri savineau dsavinea redhat.com, , ,None
101,2db2208e406df83806c264207e7df90623add154,False, nfs set idmap config ceph nfs currently nfs ganesha ceph nfs consumes etc idmapd.conf control mapping user owner identity nfsv4 containerized service deployment file immutable part container image modified provide group variable taskk template ceph nfs role set path idmap configuration file make common adjustment content file namely set domain default path etc ganesha idmap.conf conflict etc idmapd.conf controller node ganesha run nfsv4 client used example cinder nfs driver consume etc idmapd.conf may require different setting wanted nfs ganesha additionally already bind etc ganesha host ceph nfs container file nfs ganesha consumes longer immutable part container close http show_bug.cgi 1925646 signed tom barron tpb dyncloud.net authored guillaume abrioux gabrioux redhat.com, , ,None
102,b60c61ce450db5b755744c491b4dfd1ce70fb124,False, dashboard support prometheus parameter commit add parameter prometheus systemd unit template close http show_bug.cgi 1928000 signed guillaume abrioux gabrioux redhat.com, , ,None
103,9f03a527ba1294a7e050f87d78f7457ccad28d98,False, rgw support option pool creation support enabling disabling autoscaler rgw pool signed guillaume abrioux gabrioux redhat.com, , ,None
104,c5728bdc6351fe985e17b095cbd5871ef673dc29,False, default add comment igw_network add quick documentation ceph default igw_network signed guillaume abrioux gabrioux redhat.com, , ,None
105,2e1b6299b8b5915de09c34023ed7c9172ffc817b,False, common iscsi use shaman search endpoint commits 39649f0 bf8cdad switch using shaman repos endpoint search endpoint using architecture filter fact filter also available repos endpoint requires ansible task also add back condition remove 5801171 ceph iscsi repository repository need filter architecture ceph iscsi project noarch ceph iscsi tcmu runner shaman url using ceph_dev_branch ceph_dev_sha1 variable make sense variable useful ceph core repository signed dimitri savineau dsavinea redhat.com, , ,None
106,e9ddb972fef5ab73e3a6f4f95f451ae223dcf64c,False, update followup 07029e1 playbook must fail anyway rescue block introduced unmasking unit playbook failed signed guillaume abrioux gabrioux redhat.com, , ,None
107,c33de174f1d8ec2d4b94a4322cdcdcf25262f1f6,False, dashboard support igw node dedicated subnet add possibility deploy dashboard igw node using dedicated subnet close http show_bug.cgi 1926170 signed guillaume abrioux gabrioux redhat.com, , ,None
108,006998e804f803f3d3a6767403803a9cad1ed9b0,False, peer addition skipped remote peer rbd mirroring configured adding peer getting skipped peer addition get skipped added already close http show_bug.cgi 1942444 signed vasishtashastry vipin.indiasmg gmail.com, , ,None
109,a59bc2da3b82fcc5d6ce413350c74654fecba381,False, doc rgw multisite doc new rgw_instances config doc reflect instance rgw_instances take rgw_zonemaster  signed ali maredia amaredia redhat.com, , ,None
110,63a246db41195f842537473e1784f642ca6292cf,False, readme multisite fix typo commit fix typo multisite documentation signed ken dreyer ktdreyer redhat.com, , ,None
111,0163ecc924ccec3e5da9a9c4cfb8ac4558ec33ef,True, convert missed ansible_ call ansible_facts convert missed call ansible_ missed initial 6312 signed guillaume abrioux gabrioux redhat.com,https://api.github.com/repos/ceph/ceph-ansible/issues/6312,backport-stable-4.0,None
112,a0bc5afe26b29c7d1dd9e3102d2c7cfcc6613d87,False, core refactor code quality issue following commit fix code quality issue detected deepsource use literal instead function call create data structure refactor unnecessary list comprehension simplify statement refactor useless else block loop signed aksh gupta akshgpt7 gmail.com, , ,None
113,b01f16e8353ac261d8de34ef8b04e618c455492d,False, library drop ceph_facts never called playbook seems unmaintained signed guillaume abrioux gabrioux redhat.com, , ,None
114,db031a4993480ca987011630fa716f7e2ccda976,False, disable fact default ansible.cfg continuation change switch fact injection default provided ansible.cfg signed alex schultz aschultz redhat.com, , ,None
115,55bafee765b359bcf8a5739b6a32e6c1394ae89a,False, main use ansible_facts architecture commit reverted change made  commit bring back change signed guillaume abrioux gabrioux redhat.com, , ,None
116,c90b0985e50cd9a4a0160d0707af544f319a7fe8,False, test switch quay.ceph.io dashboard image reason quay.io app sre grafana longer exist workaround dashboard related image mirrored quay.ceph.io signed guillaume abrioux gabrioux redhat.com, , ,None
117,5801171b37a3acd6d7d26b874c7d541d135b9f15,False, iscsi fetch right repo shaman due recent change shaman must fetch right repo filtering desired architecture signed guillaume abrioux gabrioux redhat.com, , ,None
118,b8080bac41f7604c3f37a2db214e4091f64720b4,False, test fix test_rgw_is_up test data structure seems modified ceph master quincy commit update test accordingly signed guillaume abrioux gabrioux redhat.com, , ,None
119,7e1db0b59929b30b35c75968076b34685d0eac5b,False, test fix test_nfs_is_up test data structure seems modified ceph master quincy commit update test accordingly signed guillaume abrioux gabrioux redhat.com, , ,None
