repo_id,apity,apity_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
1908577,ID,0,1571,2,3555,430,93,11,0,0,0,11
1204214,IRI,0,6691,4,3787,4043,219,58,16,0,7,35
24977535,FFI,0,34430,3,2416,519,48,46,1,0,1,44
53256950,ID,0,3231,5,1720,775,17,10,4,0,6,0
42237038,IRI,0,811,2,2092,167,47,3,0,0,0,3
34275045,FFI_IRI,0,124308,14,3699,9176,524,309,114,0,11,184
5198041,IRI,0,12080,3,7483,1675,162,73,18,1,1,53
12779699,IRI_ID,0,358493,6,3159,1106,31,16,1,1,0,14
1308789,IRI_ID,0,3716,3,3496,807,60,12,3,0,2,7
72891330,FFI_IRI,0,131733,9,1970,5976,745,153,33,2,29,89
993110,IRI_ID,0,6474,4,3973,3466,454,103,17,0,7,79
56271158,IRI_ID,0,18647,6,1883,1304,107,39,6,2,4,27
26682105,IRI_ID,0,18135,4,2420,4038,779,45,9,2,4,30
57602001,IRI,0,8524,4,1880,6417,65,92,8,6,5,73
1918677,IRI,0,18457,2,3659,6016,277,295,213,3,28,51
14095175,FFI_IRI,0,11959,10,2850,3946,203,107,34,2,3,68
33082868,IRI_ID,0,1513,6,2123,288,22,10,0,0,0,10
5594766,IRI,0,499,3,3211,323,35,4,1,0,0,3
3327382,ID,0,1108,4,3173,1382,213,37,7,1,1,28
16331291,FFI_IRI,0,24680,12,4807,7945,186,115,70,1,1,43
508845,FFI,0,43492,5,3324,3509,238,238,107,0,5,126
42194129,IRI,0,62634,4,2371,640,32,12,4,0,5,3
23515024,FFI,0,950,5,2061,648,61,8,4,0,0,4
9709563,IRI_ID,0,14838,5,2981,3386,358,66,9,1,0,56
827590,FFI_IRI,0,21645,5,4794,10061,535,265,132,1,28,104
6319157,IRI,0,27532,3,3279,2646,62,37,1,0,6,30
12271469,IRI,0,3188,5,2860,1810,206,84,20,2,26,36
10332822,FFI_IRI,0,273059,13,3040,20000,277,459,187,0,26,246
85371262,HI,1,1027492,3,1555,1470,50,13,2,0,0,11
15642233,IRI_ID,0,27806,3,1055,89,17,3,0,0,0,3
5476048,IRI_ID,0,2146,3,2902,824,164,29,2,0,0,27
32844456,IRI,0,56989,3,1736,253,12,9,1,0,0,8
140656,FFI,0,6963,4,5534,2690,186,69,46,0,5,18
715547,IRI_ID,0,247114,11,3163,20000,201,756,71,2,3,680
648414,IRI,0,7953,2,4183,852,237,30,5,0,0,25
27954927,FFI,0,101441,2,2391,1312,50,81,59,0,1,21
16630332,IRI_ID,0,1638,3,2212,483,27,9,1,0,0,8
7855340,IRI,0,13429,3,1071,1170,15,7,6,0,1,0
12228746,IRI,0,1052,5,2774,987,123,29,1,1,14,13
757363,IRI_ID,0,7744,4,3890,1796,108,74,4,1,2,67
48796179,IRI_ID,0,15646,4,1982,3053,310,97,3,0,17,77
1217404,IRI,0,2738,8,3825,2168,333,71,4,0,22,45
116576783,FFI_IRI,0,15797,5,1312,1996,87,49,15,2,8,24
63832089,IRI,0,11282,2,1604,66,18,1,0,0,0,1
71551629,ID,0,3734,3,1711,462,79,9,0,0,0,9
30732364,IRI,0,23929,2,2275,2183,83,19,3,0,0,16
22254856,ID,0,22868,7,2578,1554,176,47,18,1,1,27
1778471,HI,1,750,3,2705,841,115,12,8,0,0,4
56728437,IRI,0,221584,17,1637,714,136,35,8,0,1,26
26316966,IRI_ID,0,13287,6,2399,3107,144,75,11,2,0,62
218157,IRI,0,9713,4,4236,4556,235,107,48,2,4,53
24499174,IRI_ID,0,12774,4,2399,789,56,30,5,0,2,23
9623064,FFI_IRI,0,17139,8,2982,1122,61,23,10,3,0,10
55434242,ID,0,1395,4,1884,242,18,4,0,0,0,4
39452201,IRI,0,6115,4,1906,536,50,2,1,0,0,1
907410,IRI_ID,0,133722,5,3199,13113,344,441,65,5,8,363
13395052,ID,0,14573,3,2811,468,123,9,1,0,0,8
36753839,IRI,0,67044,5,2436,6821,97,373,76,6,43,248
648343,IRI,0,1755,6,4086,788,58,33,28,0,2,3
1358497,IRI_ID,0,5145,3,3636,276,40,32,4,0,3,25
44402056,IRI_ID,0,5556,4,2065,1167,68,13,8,0,0,5
10154151,IRI,0,19895,3,2928,3735,118,78,36,1,4,37
48600412,IRI,0,1246,4,998,557,163,8,0,1,0,7
98315735,ID,0,2125,2,1365,668,200,22,0,0,1,21
130474497,IRI,0,69709,2,991,193,13,2,2,0,0,0
25126616,IRI,0,10414,4,2413,2242,174,61,24,0,2,35
43279131,IRI,0,3152,2,514,261,16,1,1,0,0,0
116718067,IRI,0,8129,3,1253,278,14,6,0,0,0,6
90786190,IRI_ID,0,2781,5,1447,285,74,4,0,0,0,4
30822337,HI,1,2498,3,2314,826,33,15,4,0,0,11
65392364,IRI_ID,0,29142,9,2766,3195,289,37,4,1,3,29
13622189,IRI_ID,0,4694,7,2348,864,115,28,0,0,2,26
467471,IRI_ID,0,74140,5,2915,20000,232,765,65,2,44,654
15505458,IRI_ID,0,1058,4,1907,322,29,4,1,0,0,3
5736080,FFI_IRI,0,1364362,19,3479,20000,491,978,433,2,119,424
105627846,FFI_IRI,0,551828,26,3529,20000,251,874,660,2,25,187
61722736,IRI_ID,0,24408,8,1811,2310,204,122,94,2,1,25
35914020,ID,0,18280,3,2233,2539,167,83,6,0,4,73
55058317,IRI,0,1816,4,1728,791,80,31,5,12,3,11
75135036,IRI,0,1246,2,1449,801,57,29,17,0,4,8
45213667,IRI_ID,0,98444,7,2214,7665,443,188,80,22,13,73
40936978,IRI_ID,0,77589,7,2134,1260,302,5,3,0,1,1
44104712,IRI,0,901,2,2058,625,69,17,8,0,1,8
60664534,IRI,0,24420,3,1825,437,75,22,1,0,0,21
46261404,IRI,0,23560,8,1836,1921,155,45,9,0,3,33
8608480,ID,0,147260,4,3038,3401,164,45,2,0,4,39
4534540,IRI,0,3181,3,2985,598,24,6,0,0,0,6
2183193,FFI_IRI,0,68086,7,3520,20000,533,605,427,1,9,168
93580,IRI,0,9218,2,4905,1635,191,87,12,4,13,58
12484808,IRI_ID,0,1154,8,2596,258,15,3,1,0,0,2
61406260,IRI,0,19172,4,1369,1112,99,40,12,0,0,28
80087836,IRI,0,46730,2,1609,1310,162,104,45,0,16,43
3687489,IRI_ID,0,7266,3,2424,824,77,20,1,0,0,19
361310,IRI,0,12290,4,4243,4103,383,159,18,1,10,130
47775741,ID,0,8656,3,1652,366,32,1,0,0,0,1
13021798,FFI_IRI,0,17121,6,2839,7959,222,210,83,4,26,97
4979467,FFI_IRI_ID,0,9956,7,3273,3262,373,80,25,0,2,53
38581626,FFI_IRI,0,6882,5,2187,2154,275,125,45,3,6,71
2823326,IRI,0,1827,4,3341,701,42,8,0,0,1,7
7710647,IRI,0,8759,11,3084,3994,128,103,65,1,25,12
5972219,ID,0,9083,5,3196,1822,165,64,6,0,0,58
557977,IRI,0,7499,2,4081,1669,132,46,8,1,2,35
7994556,IRI_ID,0,88912,4,3046,6183,128,58,22,3,11,22
16107755,IRI_ID,0,80114,3,2658,1335,100,45,11,0,3,31
16623069,ID,0,8951,2,2690,389,33,2,1,0,0,1
46041284,IRI,0,24627,3,2058,5746,349,97,12,0,2,83
20506004,HI,1,2632,5,2559,1817,167,48,5,0,7,36
21299916,IRI_ID,0,3878,3,2542,648,39,8,2,0,0,6
9526392,ID,0,1448,3,2728,622,59,12,3,0,0,9
1705960,IRI_ID,0,2486,5,3485,1062,167,30,7,1,5,17
3447593,IRI_ID,0,9497,5,3298,1972,99,16,4,0,2,10
46964895,IRI_ID,0,12611,7,2036,1190,29,6,3,0,0,3
8393,HI,1,3508,3,4597,1972,468,75,10,0,7,58
1653882,HI,1,3129,4,3657,1206,153,27,12,0,0,15
45821540,FFI_IRI,0,203936,13,4349,20000,1005,1204,353,15,282,554
90961634,FFI_IRI,0,34964,11,1475,1070,25,39,18,0,9,12
10974951,FFI_ID,0,21811,48,2902,8405,1832,125,49,0,0,76
611921,IRI,0,12558,6,4095,7398,774,229,25,1,8,195
11495787,IRI,0,1290,3,2560,404,57,20,12,0,1,7
128564293,IRI_ID,0,9727,4,690,855,51,11,0,0,0,11
54378638,IRI,0,10773,2,1921,1479,80,35,19,1,1,14
7191565,IRI_ID,0,9845,3,3070,1596,268,20,10,0,0,10
747512,IRI,0,15556,4,5570,3348,206,80,49,1,3,27
7178155,IRI_ID,0,11045,3,3114,1428,84,19,2,0,1,16
38460192,ID,0,49758,2,2173,7273,201,120,28,1,3,88
9385519,IRI,0,577,2,2937,299,65,3,0,0,2,1
275604,IRI_ID,0,2434,4,4320,1689,277,33,14,0,0,19
53982546,IRI_ID,0,21095,5,1911,526,65,9,0,0,1,8
442430,FFI,0,3914,2,4059,1442,114,64,25,0,0,39
32131850,IRI_ID,0,46154,3,2301,9874,34,103,58,4,3,38
4697273,IRI,0,32885,2,3138,363,27,3,0,0,3,0
39890823,IRI_ID,0,72109,6,2080,1826,105,36,6,0,3,27
59212953,IRI,0,8004,5,1854,1885,135,62,32,0,0,30
75890962,IRI_ID,0,5368,4,1342,102,9,2,0,0,0,2
25310522,HI,1,1327,3,2040,1064,144,20,9,0,0,11
1012503,IRI,0,21737,3,2010,188,6,16,2,0,0,14
4414698,IRI_ID,0,21885,12,3326,5902,263,108,26,2,2,78
109359519,IRI,0,26294,5,1286,2489,43,35,19,0,2,14
7639232,IRI_ID,0,9313,6,2647,1809,328,88,11,0,3,74
44416666,ID,0,650,2,2076,300,57,3,0,0,0,3
4075232,IRI,0,54329,3,3356,1615,97,43,1,0,2,40
21089071,IRI,0,13494,12,2516,1111,75,23,7,0,2,14
16096681,IRI_ID,0,6664,3,1651,1667,102,67,2,0,31,34
86840811,IRI_ID,0,28369,5,1552,2575,329,19,3,1,0,15
36376183,ID,0,13092,4,1463,2396,269,38,12,0,2,24
2080922,IRI_ID,0,18119,7,3661,5975,244,136,51,0,15,70
9155431,FFI,0,1989,6,3035,816,78,32,8,0,0,24
2699935,ID,0,200618,5,5410,6901,250,235,38,0,3,194
22938893,IRI,0,916,2,2510,529,85,7,1,0,0,6
59966901,IRI,0,5471,3,1835,853,59,11,2,1,0,8
88254582,IRI,0,410665,5,1538,1498,147,27,0,2,1,24
78281075,FFI_IRI,0,16080,7,1502,760,62,21,8,0,0,13
9330072,FFI,0,14666,4,2877,753,18,14,14,0,0,0
77713709,IRI,0,43334,3,1634,665,43,25,8,0,0,17
45612129,HI,1,21807,2,640,168,13,10,6,0,0,4
597887,IRI,0,41132,3,5557,11989,947,322,41,3,3,275
15078635,IRI,0,7725,3,2732,3305,200,84,3,3,32,46
747698,IRI,0,37289,3,4088,3399,404,137,26,1,7,103
1272666,IRI,0,19469,2,3852,2275,297,103,16,1,8,78
21535619,IRI,0,16218,5,2539,1353,111,72,24,0,40,8
27844645,ID,0,46108,6,2328,595,30,8,0,0,0,8
4704710,IRI,0,52416,3,3287,2781,164,53,9,4,9,31
36502584,IRI_ID,0,223520,3,1904,1154,59,72,5,0,6,61
46383222,IRI,0,26730,4,1915,2196,59,24,11,0,0,13
37743219,IRI,0,9344,2,360,493,37,14,1,0,0,13
80041090,IRI_ID,0,23549,6,1515,325,116,41,4,2,6,29
61204818,IRI_ID,0,14021,5,1826,3767,256,37,5,0,5,27
31365325,ID,0,582,3,2217,87,30,3,1,0,0,2
40008106,IRI,0,172231,5,2061,1456,140,40,5,3,1,31
62925253,IRI,0,247,2,1812,304,63,1,0,0,0,1
72039072,FFI_IRI,0,889,7,1245,736,25,28,22,0,3,3
20105255,HI,1,2587,3,2580,328,35,5,1,0,0,4
6561551,ID,0,1386,3,3101,693,117,18,8,0,0,10
5775917,IRI_ID,0,2523,4,1703,572,99,13,0,0,3,10
345337,FFI_IRI,0,2001476,15,4782,16591,493,565,245,0,95,225
39038086,IRI,0,3791,3,2179,654,101,18,2,1,1,14
2677676,FFI_IRI,0,25716,11,3303,6290,215,593,145,4,159,285
12755139,IRI_ID,0,190299,7,3839,9423,142,208,31,5,31,141
14224695,IRI,0,57089,9,4472,4683,56,872,266,0,13,593
