id,languages,classifier,clfType,fileType
39873788,"['php', 'javascript', 'css']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
8077625,"['python', 'shell', 'ruby']",Shell*_Python*,IMI,"['.sh', '.bsh', '.zsh', '.py']"
68157963,"['ruby', 'objective-c']",HIT*,HIT,['*']
38976571,"['typescript', 'javascript', 'html', 'css']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
8869463,"['javascript', 'html', 'shell']",Shell*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
9214660,"['c++', 'c', 'objective-c', 'shell']",Shell*_Java-C_C-C++,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh']"
126628616,"['javascript', 'html', 'php']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
55075302,"['c++', 'c', 'shell', 'java', 'css']",Shell*_Java-C_C-C++,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh']"
59850602,"['javascript', 'html', 'shell']",Shell*_JavaScript*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
88957090,"['python', 'javascript', 'html', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
20389482,"['c', 'python', 'shell', 'c++', 'html']",Shell*_Python*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh', '.py']"
10517878,"['shell', 'javascript']",Shell*_JavaScript*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
3113269,"['ruby', 'html', 'shell']",Ruby*,IMI,['.rb']
1925457,"['java', 'css', 'javascript', 'html', 'shell', 'php']",Shell*_Java*_JS-CSS-HTML*,IMI_EBD,"['.java', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
108125,"['ruby', 'html', 'shell']",Shell*_Ruby*,IMI,"['.sh', '.bsh', '.zsh', '.rb']"
366200,"['ruby', 'html', 'javascript', 'shell']",Shell*_JavaScript*_Ruby*,IMI,"['.ts', '.js', '.html', '.rb', '.sh', '.bsh', '.zsh']"
66962179,"['typescript', 'javascript']",JavaScript*,IMI,"['.ts', '.js', '.html']"
47140131,"['python', 'shell']",Shell*_Python*,IMI,"['.sh', '.bsh', '.zsh', '.py']"
319491,"['php', 'html']",HIT*,HIT,['*']
